,,,KEY COVID COMPOUNDING RISKS,,,,,,,,,,,
,,,,,,,,,,,,,,
COUNTRY,ISO3,COVID Risk,Seasonal Risk,Food Insecurity,Conflict ,Fiscal,Economic and Financial,Fragility,NatCat Risk,Institutions,FISCAL,FRAGILITY,Average Risk Score,Count Flags
(a-z),(a-z),,,,,,,,,,,,,
Morocco,MAR,6.6,#N/A,0.0,0.0,0.0,4.0,3.3,4.9,5.7,3.5,2.0,2.6,3.0
Mozambique,MOZ,8.1,6.1,6.0,8.9,10.0,4.0,7.1,6.0,4.6,7.1,7.7,6.6,7.0
Myanmar,MMR,6.8,1.7,0.0,7.9,0.0,4.0,5.3,7.8,7.1,3.1,3.6,4.2,5.0
Namibia,NAM,7.0,0.0,0.0,0.0,0.0,4.0,5.5,4.1,4.6,2.7,2.1,2.3,2.0
Nauru,NRU,7.0,#N/A,0.0,0.0,0.0,4.0,4.2,2.8,6.7,3.7,2.2,2.5,3.0
Nepal,NPL,7.4,0.0,0.0,0.0,0.0,3.3,4.7,5.7,6.1,2.7,2.0,2.5,5.0
Netherlands,NLD,3.4,#N/A,0.0,0.0,0.0,3.7,2.1,2.0,1.7,2.4,1.1,1.4,1.0
New Zealand,NZL,4.9,#N/A,0.0,0.0,0.0,4.0,0.9,4.4,2.1,3.0,1.2,1.6,1.0
Nicaragua,NIC,6.8,#N/A,4.0,0.2,0.0,4.0,3.6,6.6,6.0,3.6,2.9,3.5,3.0
Niger,NER,8.4,1.5,6.0,11.0,0.0,2.0,7.1,4.3,6.0,3.0,5.7,4.7,5.0
Nigeria,NGA,7.5,0.1,8.0,9.4,0.0,4.0,6.3,3.9,5.0,2.9,5.2,4.6,6.0
North Macedonia,MKD,6.5,#N/A,0.0,0.0,0.0,3.7,1.7,3.7,4.8,3.4,1.6,2.0,1.0
Norway,NOR,3.7,#N/A,0.0,0.0,0.0,3.0,2.1,0.3,1.9,2.2,1.2,1.0,0.0
Oman,OMN,5.9,#N/A,0.0,0.0,0.0,3.3,1.4,5.2,4.7,3.1,1.5,2.1,2.0
Pakistan,PAK,7.5,5.8,0.0,7.0,0.0,4.0,5.7,7.4,5.3,4.3,4.3,4.4,7.0
Palau,PLW,7.5,#N/A,0.0,0.0,0.0,5.0,2.3,3.2,5.5,4.2,2.0,2.3,3.0
Panama,PAN,6.2,#N/A,0.0,0.0,0.0,4.0,2.8,6.2,5.0,3.4,1.8,2.6,2.0
Papua New Guinea,PNG,8.1,#N/A,0.0,0.0,0.0,1.6,5.1,6.7,6.8,3.2,2.6,2.9,4.0
Paraguay,PRY,6.8,#N/A,0.0,0.0,0.0,2.3,3.4,2.6,5.2,3.0,2.0,1.9,1.0
Peru,PER,6.0,#N/A,0.0,0.3,0.0,3.7,4.3,7.1,4.8,3.2,2.1,2.9,2.0
